5/22/2026,Microsoft 365 Enterprise,,
Feature,E3,E5,E7
Office 365,E3,E5,E5
Activity Reports,✔,✔,✔
Adoption Score,✔,✔,✔
Alert Policies,✔,✔,✔
Audit (premium),,✔,✔
Audit (standard),✔,✔,✔
Basic Mobility & Security,✔,✔,✔
Bookings,✔,✔,✔
Clipchamp Standard,✔,✔,✔
Communication Compliance,,✔,✔
Compliance Manager,✔,✔,✔
Conditional Access for Sites,,✔,✔
Content Search,✔,✔,✔
Copilot Data Loss Prevention,,✔,✔
Customer Key,,✔,✔
Customer Lockbox,,✔,✔
Data Lifecycle Management,,✔,✔
Data Loss Prevention,✔,✔,✔
Dataverse for Teams,✔,✔,✔
Defender for Office 365 Plan 2,,✔,✔
 > Attack Simulation Training,,✔,✔
 > Automated Investigation & Response,,✔,✔
 > Campaign Views,,✔,✔
 > Compromised User Detection,,✔,✔
 > Teams Message Entity Panel,,✔,✔
 > Teams Message Quarantine,,✔,✔
 > Threat Explorer,,✔,✔
 > Threat Trackers,,✔,✔
 > Defender for Office 365 Plan 1,✔,✔,✔
 > > Advanced Anti-Phishing,✔,✔,✔
 > > Real-Time Reports,✔,✔,✔
 > > Safe Attachments,✔,✔,✔
 > > Safe Links,✔,✔,✔
Double Key Encryption,,✔,✔
eDiscovery (premium),,✔,✔
eDiscovery (standard),✔,✔,✔
Education Insights,,,
Exact Data Match,,✔,✔
Exchange Online,Plan 2(100 GB),Plan 2(100 GB),Plan 2(100 GB)
Exchange Online Archiving,1.5 TB,1.5 TB,1.5 TB
Exchange Online Protection,✔,✔,✔
Graph Connector Capacity,✔,✔,✔
InfoPath App,✔,✔,✔
Information Barriers,,✔,✔
Information Protection for M365,✔,✔,✔
Loop Workspaces,✔,✔,✔
Message Encryption (advanced),,✔,✔
Message Encryption (basic),✔,✔,✔
Microsoft 365 Apps,Enterprise,Enterprise,Enterprise
Microsoft 365 Copilot (Basic),✔,✔,✔
 > AI Standard Access,✔,✔,✔
 > Copilot in Excel,✔,✔,✔
 > Copilot in OneNote,✔,✔,✔
 > Copilot in PowerPoint,✔,✔,✔
 > Copilot in Word,✔,✔,✔
 > Copilot Chat (Basic),✔,✔,✔
 > > AI Priority Access,✔,✔,✔
 > > Copilot Chat (Web),✔,✔,✔
 > > Copilot Chat in Outlook,✔,✔,✔
 > > Copilot Code Interpreter,✔,✔,✔
 > > Copilot File Upload,✔,✔,✔
 > > Copilot Image Generator,✔,✔,✔
 > > Copilot Pages,✔,✔,✔
 > > Create Agents,✔,✔,✔
 > > Graph Access in Agents (metered),✔,✔,✔
 > > Graph Connectors in Agents (metered),✔,✔,✔
Microsoft 365 Mobile App,✔,✔,✔
Microsoft Forms,✔,✔,✔
Microsoft Lists,✔,✔,✔
Microsoft Places (core),✔,✔,✔
Microsoft Search,✔,✔,✔
Microsoft Teams,Optional,Optional,Optional
Microsoft To Do,✔,✔,✔
Microsoft Whiteboard,✔,✔,✔
Office 365 Cloud App Security,,✔,✔
Office for the Web,✔,✔,✔
OneDrive,Plan 2(1 TB+),Plan 2(1 TB+),Plan 2(1 TB+)
OneNote Class Notebook,,,
Planner for Office 365,✔,✔,✔
PLC Groups,,,
Power Apps for Office 365,✔,✔,✔
Power Automate for Office 365,✔,✔,✔
Power BI Pro,,✔,✔
Privileged Access Management,,✔,✔
Productivity Server CAL,✔,✔,✔
Project & Roadmap View Access,✔,✔,✔
Records Management,,✔,✔
Retention Labels,✔,✔,✔
Retention Policies,✔,✔,✔
Rules-Based Classification (Office 365),,✔,✔
Safe Links Lite (announced),,,
School Data Sync,,,
Secure Score,✔,✔,✔
SharePoint Online,Plan 2,Plan 2,Plan 2
Skype for Business Plus CAL,,✔,✔
Sway,✔,✔,✔
Teams Audio Conferencing (full),,✔,✔
Teams Data Loss Prevention,,✔,✔
Teams DLP & Export Graph API,,✔,✔
Teams Live Events (retiring),✔,✔,✔
Teams Phone,,✔,✔
Teams Town Halls,✔,✔,✔
Teams Webinars,✔,✔,✔
Visio for the Web,✔,✔,✔
Viva Connections,✔,✔,✔
Viva Engage,✔,✔,✔
Viva Insights - Personal,Basic,Premium,Premium
Viva Learning (basic),✔,✔,✔
3x Premium & Custom Compliance Templates,,✔,✔
Enterprise Mobility + Security,E3,E5,E5
Active Directory RMS,✔,✔,✔
App Governance,,✔,✔
Azure RMS,✔,✔,✔
Config Manager Endpoint Protection,✔,✔,✔
Defender for Cloud Apps,,✔,✔
Defender for Identity,,✔,✔
Entra ID Plan 2,,✔,✔
 > Access Reviews,,✔,✔
 > Entitlement Management (basic),,✔,✔
 > Entra ID Protection,,✔,✔
 > MFA Registration Policy,,✔,✔
 > Privileged Identity Management,,✔,✔
 > Risk-Based Conditional Access,,✔,✔
 > Entra ID Plan 1,✔,✔,✔
 > > Administrative Units,✔,✔,✔
" > > App Proxy, including PingAccess",✔,✔,✔
 > > Cloud App Discovery,✔,✔,✔
 > > Conditional Access,✔,✔,✔
 > > Custom Security Attributes,✔,✔,✔
 > > Entra ID Connect Health,✔,✔,✔
 > > Entra Internet Access for Microsoft,✔,✔,✔
 > > External ID,✔,✔,✔
 > > Microsoft Identity Manager,✔,✔,✔
 > > Password Protection,✔,✔,✔
 > > Self-Service Group Management,✔,✔,✔
 > > Service Level Agreement,✔,✔,✔
 > > Shared Account Password Roll-Over,✔,✔,✔
 > > SMS Sign-In,✔,✔,✔
 > > Tenant Restrictions,✔,✔,✔
 > > Terms of Use,✔,✔,✔
 > > 3rd Party MFA Integration,✔,✔,✔
 > > Entra ID for Education,,,
 > > > Advanced Security Reports & Alerts,✔,✔,✔
 > > > Dynamic Groups,✔,✔,✔
 > > > Enterprise State Roaming,✔,✔,✔
 > > > Self-Service Password Reset in AD,✔,✔,✔
 > > > Windows Autopilot,✔,✔,✔
 > > > Entra ID for Office 365,✔,✔,✔
 > > > > Customized Sign-In Page,✔,✔,✔
 > > > > Self-Service Activity Reports,✔,✔,✔
 > > > > Entra ID Free,✔,✔,✔
 > > > > > Basic Security & Usage Reports,✔,✔,✔
 > > > > > Multi-Factor Auth (MFA),✔,✔,✔
 > > > > > Passwordless Authentication,✔,✔,✔
 > > > > > Single-Sign-On to other SaaS,✔,✔,✔
 > > > > > Temporary Access Pass,✔,✔,✔
 > > > > > Verified ID,✔,✔,✔
Information Protection,✔,✔,✔
Intune Plan 1,✔,✔,✔
 > Application Management,✔,✔,✔
 > Config Manager,✔,✔,✔
 > Device Management,✔,✔,✔
 > Endpoint Analytics,✔,✔,✔
Intune Suite,,✔,✔
 > Intune Advanced Analytics,✔,✔,✔
 > Intune Cloud PKI,,✔,✔
 > Intune Endpoint Privilege Management,,✔,✔
 > Intune Enterprise App Management,,✔,✔
 > Intune Remote Help,✔,✔,✔
 > Intune Plan 2,✔,✔,✔
 > > Firmware Over-the-Air Updates,✔,✔,✔
 > > Specialty Device Management,✔,✔,✔
 > > Tunnel for MAM,✔,✔,✔
Rules-Based Classification (Client & Scanner),,✔,✔
Windows Server CAL Rights,✔,✔,✔
Windows,E3,E5,E5
Always On VPN,✔,✔,✔
Application Control,✔,✔,✔
AppLocker,✔,✔,✔
App Assure,✔,✔,✔
Assigned Access,✔,✔,✔
Attack Surface Reduction,✔,✔,✔
BitLocker,✔,✔,✔
BitLocker to Go,✔,✔,✔
BranchCache,✔,✔,✔
Copilot in Windows,✔,✔,✔
Custom Logon,✔,✔,✔
Custom Shell,✔,✔,✔
Credential Guard,✔,✔,✔
Defender Antivirus,✔,✔,✔
Defender for Endpoint Plan 2,,✔,✔
 > Advanced Hunting,,✔,✔
 > Automated Investigations,,✔,✔
 > Defender for Cloud Apps Integration,,✔,✔
 > Endpoint Attack Notifications (suspended),,✔,✔
 > Endpoint Detection & Response,,✔,✔
 > Evaluation Lab,,✔,✔
 > Threat Analytics,,✔,✔
 > 6-Months Searchable Data,,✔,✔
 > Defender Vulnerability Management (core),,✔,✔
 > > Configuration Assessment,,✔,✔
 > > Continuous Monitoring,,✔,✔
 > > Device Discovery,,✔,✔
 > > Device Inventory,,✔,✔
 > > Remediation Tracking,,✔,✔
 > > Risk Based Prioritization,,✔,✔
 > > Software Inventory,,✔,✔
 > > Software Usage Insights,,✔,✔
 > > Vulnerability Assessment,,✔,✔
 > Defender for Endpoint Plan 1,✔,✔,✔
 > > Attack Surface Reduction (enhanced),✔,✔,✔
 > > Block at First Sight,✔,✔,✔
 > > Centralized Management,✔,✔,✔
